,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts
Bury Free Press,0.0,0.0,0.0,0.0,1432.0,3019.0,2326.0,1998.0,3406.0,1156.0,1803.0,0.0,0.0
Bury Times,0.0,0.0,0.0,0.0,4665.0,13770.0,23277.0,1006.0,1305.0,333.0,876.0,1016.0,0.0
Business Weekly - UK,0.0,0.0,0.0,0.0,0.0,5.0,644.0,829.0,7.0,0.0,0.0,0.0,0.0
Buxton Advertiser,0.0,0.0,0.0,0.0,10113.0,32711.0,44642.0,27513.0,2520.0,1258.0,0.0,0.0,0.0
Cambridge Evening News,3.0,4.0,9.0,69.0,10691.0,10154.0,9278.0,5064.0,2789.0,1423.0,0.0,0.0,0.0
Cambs Times,0.0,0.0,0.0,0.0,346.0,911.0,1700.0,1925.0,3566.0,1188.0,2285.0,837.0,0.0
Chard & Ilminster News,0.0,0.0,0.0,0.0,562.0,1450.0,1444.0,2948.0,3001.0,1269.0,1075.0,920.0,0.0
Cheshire Online,0.0,9.0,5.0,2.0,6354.0,19036.0,18897.0,0.0,0.0,8630.0,1654.0,0.0,0.0
Chester Evening Leader,0.0,0.0,0.0,0.0,481.0,648.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0
Chester Standard,0.0,0.0,0.0,0.0,6717.0,7215.0,3147.0,3734.0,2656.0,1544.0,973.0,0.0,0.0
Chichester Observer,0.0,0.0,0.0,0.0,1368.0,6746.0,9662.0,3208.0,3367.0,1643.0,0.0,0.0,0.0
Chingford Guardian,0.0,0.0,0.0,0.0,2944.0,2939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chorley Citizen,0.0,0.0,0.0,3.0,3697.0,10795.0,1550.0,1383.0,2265.0,327.0,523.0,382.0,0.0
Clitheroe Today,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1560.0,159.0,0.0,0.0,0.0,0.0
