,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts
Rochdale Observer,0.0,0.0,2.0,2.0,1415.0,0.0,0.0,0.0,0.0,449.0,53.0,0.0,0.0
Romsey Advertiser,0.0,0.0,0.0,31.0,1303.0,0.0,0.0,0.0,0.0,399.0,269.0,240.0,0.0
Royston Crow,0.0,0.0,0.0,0.0,1964.0,0.0,0.0,0.0,0.0,957.0,1340.0,1550.0,48.0
Rutland News,0.0,0.0,0.0,0.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutland Times,0.0,0.0,0.0,0.0,2455.0,6.0,0.0,0.0,12.0,3837.0,2253.0,0.0,0.0
Saffron Walden Reporter,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,6.0,864.0,1191.0,809.0,0.0
Sale & Altrincham Messenger,0.0,0.0,0.0,0.0,1949.0,0.0,0.0,0.0,0.0,852.0,1883.0,922.0,0.0
Scotsman,0.0,2.0,0.0,0.0,45802.0,0.0,0.0,0.0,0.0,0.0,978.0,0.0,0.0
Scunthorpe Telegraph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667.0,6527.0,0.0,0.0
Sheffield Today,0.0,0.0,0.0,1.0,7418.0,1.0,0.0,0.0,0.0,6279.0,0.0,0.0,0.0
Skegness Today,0.0,0.0,0.0,0.0,4168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SkyNews,3.0,14.0,27.0,140.0,7142.0,0.0,0.0,0.0,2.0,4028.0,9080.0,3412.0,0.0
Slough & South Bucks Observer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.0,934.0,0.0,0.0
Somerset County Gazette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,2205.0,1842.0,0.0
South London Press,0.0,0.0,0.0,0.0,5721.0,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Wales Argus,0.0,0.0,0.0,0.0,3023.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0
South Wales Evening Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7466.0,3707.0,814.0
Southern Daily Echo,0.0,0.0,0.0,389.0,4315.0,6644.0,7102.0,13822.0,23545.0,5279.0,4633.0,2729.0,0.0
Spalding Guardian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1187.0,3124.0,0.0,0.0
Spalding Today,0.0,0.0,0.0,0.0,4451.0,2336.0,2190.0,0.0,0.0,0.0,0.0,0.0,0.0
St Albans Observer,0.0,0.0,0.0,0.0,2083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stamford Mercury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,0.0,0.0
Streatham Guardian,0.0,0.0,0.0,0.0,2998.0,1.0,7.0,12.0,116.0,1189.0,0.0,0.0,0.0
Sunderland Echo,0.0,0.0,0.0,0.0,7418.0,0.0,0.0,0.0,0.0,2896.0,0.0,0.0,0.0
Surrey Advertiser,0.0,0.0,0.0,0.0,0.0,1.0,14.0,82.0,154.0,4520.0,216.0,0.0,0.0
Sutton Guardian,0.0,0.0,0.0,0.0,3022.0,0.0,0.0,1.0,0.0,1700.0,1764.0,1019.0,0.0
Telegraph UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.0,0.0,0.0
The Bath Chronicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4863.0,5588.0,0.0,0.0
The Berwickshire News,1.0,0.0,0.0,0.0,425.0,776.0,705.0,823.0,13284.0,0.0,244.0,0.0,0.0
The Courier & Advertiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646.0,0.0,0.0,0.0
The Cumberland News,5.0,3.0,12.0,24.0,4870.0,2391.0,2308.0,320.0,1.0,1.0,0.0,0.0,0.0
The Daily Mail,0.0,0.0,0.0,0.0,0.0,22958.0,44852.0,7.0,41612.0,18421.0,52148.0,26250.0,0.0
The Daily Star,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,9137.0,12074.0,0.0,0.0
The Daily Telegraph,1.0,0.0,0.0,1.0,35891.0,10823.0,14079.0,34885.0,92974.0,44766.0,63093.0,49236.0,3066.0
The Guardian,17.0,16.0,28.0,120.0,46281.0,17037.0,734.0,0.0,2.0,1975.0,7072.0,2637.0,0.0
The Guardian Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,2742.0,13761.0,0.0
The Herald (Scotland),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7703.0,14831.0,15012.0,529.0
The Huddersfield Daily Examiner,0.0,0.0,0.0,0.0,4706.0,5180.0,9179.0,0.0,0.0,0.0,0.0,0.0,0.0
The Independent UK,0.0,0.0,0.0,0.0,26183.0,42727.0,43496.0,0.0,0.0,5237.0,11525.0,0.0,0.0
The Northern Echo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8593.0,0.0,0.0,0.0
The Pig Site - UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1075.0,0.0,0.0,0.0
The Press (York),0.0,0.0,0.0,55.0,2.0,4.0,45.0,117.0,431.0,2901.0,6728.0,3929.0,0.0
The Press and Journal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,1914.0,1031.0,0.0
The Reading Chronicle,0.0,0.0,0.0,0.0,794.0,64.0,1886.0,0.0,0.0,4741.0,6.0,0.0,0.0
The Scotsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11206.0,14539.0,0.0,0.0
This Is Exeter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8656.0,6281.0,0.0,0.0
This Is Gloucestershire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12457.0,16428.0,0.0,0.0
This is Cheshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,1826.0,2502.0,0.0
Times & Star,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,711.0,375.0,417.0,30.0
Tyrone Times,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1129.0,2550.0,0.0,0.0
UK Uncut on Twitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2492.0,0.0,0.0,0.0
Wandsworth Guardian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8648.0,0.0,0.0,0.0
West Sussex County Times,0.0,0.0,0.0,0.0,560.0,94.0,0.0,0.0,0.0,938.0,2486.0,0.0,0.0
Western Mail,0.0,0.0,0.0,0.0,10239.0,26147.0,33015.0,0.0,2.0,5841.0,460.0,0.0,0.0
Wharf,0.0,0.0,0.0,0.0,855.0,522.0,501.0,0.0,0.0,644.0,1069.0,1366.0,169.0
Wiltshire News / This Is Wiltshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3369.0,2678.0,10238.0,252.0
Wirral Globe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,791.0,1076.0,0.0
Wisbech Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1112.0,2404.0,1589.0,0.0
Wokingham Times,0.0,0.0,0.0,13.0,237.0,1010.0,4180.0,5.0,42.0,4069.0,1371.0,0.0,0.0
Worcester News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,5471.0,4045.0,0.0
Worksop Guardian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1256.0,2573.0,0.0,0.0
World Nuclear News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,463.0,354.0,0.0
Worthing Herald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,654.0,597.0,1748.0,84.0
Yorkshire Evening Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10101.0,9713.0,0.0,0.0
Yorkshire Post,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0
Your Local Guardian,0.0,0.0,0.0,0.0,66.0,2053.0,3969.0,41.0,472.0,1494.0,1059.0,3.0,0.0
enfieldindependent.co.uk,5.0,11.0,38.0,63.0,2235.0,3296.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
